en,pl
Affectionate With Family,Czułość w kontaktach z rodziną
Good With Young Children,Przyjazność w kontaktach z małymi dziećmi
Good With Other Dogs,Przyjazność w kontaktach z innymi psami
Shedding Level,Linienie
Coat Grooming Frequency,Częstotliwość pielęgnacji sierści
Drooling Level,Ślinienie
Coat Type,Rodzaj sierści
Coat Length,Długość sierści
Openness To Strangers,Otwartość na obcych
Playfulness Level,Zabawowość
Watchdog/Protective Nature,Charakter stróżujący/opiekuńczy
Adaptability Level,Adpatacyjność
Trainability Level,Podatność na szkolenie
Energy Level,Energiczność
Barking Level,Szczekanie
Mental Stimulation Needs,Potrzeba stymulacji psychicznej
